# Premium pet preview images — gold (2026-06-15 batch)
# Contact sheet: assets/exports/pets/premium_pets_2026-06-15_gold_contact_sheet.png

pet	download_preview	copied_to
empyrean_dragon	~/Downloads/Empyrean Dragon Gold.png	empyrean_dragon_gold.png
aurora_leviathan	~/Downloads/Aurora Leviathan Gold.png	aurora_leviathan_gold.png
glacial_seraph	~/Downloads/Glacial Seraph Gold.png	glacial_seraph_gold.png
seraph_owl	~/Downloads/Seraph Owl Gold.png	seraph_owl_gold.png
aurora_fox	~/Downloads/Aurora Fox Gold.png	aurora_fox_gold.png
frostlight_hare	~/Downloads/Frostlight Hare Gold.png	frostlight_hare_gold.png
sunmane_lion	~/Downloads/Sunmane Lion Gold.png	sunmane_lion_gold.png
solar_phoenix	~/Downloads/Solar Phoenix Gold.png	solar_phoenix_gold.png
radiant_salamander	~/Downloads/Radiant Salamander Gold.png	radiant_salamander_gold.png
emberling_cherub	~/Downloads/Emberling Cherub Gold.png	emberling_cherub_gold.png
