# Gem meshes from Meshy (Jun 6 2026). Source OBJ + texture; upload FBX from exports/.
# Colors: sapphire=blue/ice, emerald=green/earth, ruby=red/fire, citrine=yellow/desert, amethyst=purple/generic

name	gem	kind	meshy_folder
citrine_gem_bag	gem_bag	citrine	Meshy_AI_Bag_of_Blue_Gems_0606230724_texture_obj
citrine_gem_pile	gem_pile	citrine	Meshy_AI_Azure_Faceted_Orbs_0606230656_texture_obj
citrine_gem_single	gem_single	citrine	Meshy_AI_Azure_Faceted_Sphere_0606230615_texture_obj
emerald_gem_bag	gem_bag	emerald	Meshy_AI_Bag_of_Blue_Gems_0606230710_texture_obj
emerald_gem_pile	gem_pile	emerald	Meshy_AI_Azure_Faceted_Orbs_0606230649_texture_obj
emerald_gem_single	gem_single	emerald	Meshy_AI_Azure_Faceted_Sphere_0606230604_texture_obj
ruby_gem_bag	gem_bag	ruby	Meshy_AI_Bag_of_Blue_Gems_0606230718_texture_obj
ruby_gem_pile	gem_pile	ruby	Meshy_AI_Azure_Faceted_Orbs_0606230640_texture_obj
ruby_gem_single	gem_single	ruby	Meshy_AI_Azure_Faceted_Sphere_0606230609_texture_obj
sapphire_gem_bag	gem_bag	sapphire	Meshy_AI_Bag_of_Blue_Gems_0606231118_texture_obj
sapphire_gem_pile	gem_pile	sapphire	Meshy_AI_Azure_Faceted_Orbs_0606230632_texture_obj
sapphire_gem_single	gem_single	sapphire	Meshy_AI_Azure_Faceted_Sphere_0606230622_texture_obj
amethyst_gem_bag	gem_bag	amethyst	Meshy_AI_Bag of Blue Gems_1781217507_texture.zip
amethyst_gem_pile	gem_pile	amethyst	Meshy_AI_Azure Faceted Orbs_1781217447_texture.zip
amethyst_gem_single	gem_single	amethyst	Meshy_AI_Azure Faceted Sphere_1781217480_texture.zip
