# All game pets — preview contact sheets (gold manifest section)
# Source of truth: configs/pets.lua (96 species)
# Preview PNGs: assets/exports/pets/{basic|gold}/{pet_id}_{variant}.png

basic_contact_sheet: assets/exports/pets/all_game_pets_2026-06-24_gold_contact_sheet.png
gold_contact_sheet: assets/exports/pets/all_game_pets_2026-06-24_gold_contact_sheet.png

pet_id	display_name	category	realm	origin	section	basic_preview	gold_preview
coronal_cherub	Coronal Cherub	heaven	heaven	lava	heaven 2 · fire	assets/exports/pets/basic/coronal_cherub_basic.png	assets/exports/pets/gold/coronal_cherub_gold.png
prism_lion	Prism Lion	heaven	heaven	lava	heaven 2 · fire	assets/exports/pets/basic/prism_lion_basic.png	assets/exports/pets/gold/prism_lion_gold.png
lance_seraph	Lance Seraph	heaven	heaven	lava	heaven 2 · fire	assets/exports/pets/basic/lance_seraph_basic.png	assets/exports/pets/gold/lance_seraph_gold.png
lumen_salamander	Lumen Salamander	heaven	heaven	lava	heaven 2 · fire	assets/exports/pets/basic/lumen_salamander_basic.png	assets/exports/pets/gold/lumen_salamander_gold.png
dawnfire_phoenix	Dawnfire Phoenix	heaven	heaven	lava	heaven 2 · fire	assets/exports/pets/basic/dawnfire_phoenix_basic.png	assets/exports/pets/gold/dawnfire_phoenix_gold.png
frostlight_doe	Frostlight Doe	heaven	heaven	ice	heaven 2 · ice	assets/exports/pets/basic/frostlight_doe_basic.png	assets/exports/pets/gold/frostlight_doe_gold.png
prism_fox	Prism Fox	heaven	heaven	ice	heaven 2 · ice	assets/exports/pets/basic/prism_fox_basic.png	assets/exports/pets/gold/prism_fox_gold.png
starlight_owl	Starlight Owl	heaven	heaven	ice	heaven 2 · ice	assets/exports/pets/basic/starlight_owl_basic.png	assets/exports/pets/gold/starlight_owl_gold.png
glacial_bear	Glacial Bear	heaven	heaven	ice	heaven 2 · ice	assets/exports/pets/basic/glacial_bear_basic.png	assets/exports/pets/gold/glacial_bear_gold.png
aurora_dragon	Aurora Dragon	heaven	heaven	ice	heaven 2 · ice	assets/exports/pets/basic/aurora_dragon_basic.png	assets/exports/pets/gold/aurora_dragon_gold.png
bloomspirit_lamb	Bloomspirit Lamb	heaven	heaven	grass	heaven 2 · grass	assets/exports/pets/basic/bloomspirit_lamb_basic.png	assets/exports/pets/gold/bloomspirit_lamb_gold.png
lightleaf_hare	Lightleaf Hare	heaven	heaven	grass	heaven 2 · grass	assets/exports/pets/basic/lightleaf_hare_basic.png	assets/exports/pets/gold/lightleaf_hare_gold.png
crystalbark_stag	Crystalbark Stag	heaven	heaven	grass	heaven 2 · grass	assets/exports/pets/basic/crystalbark_stag_basic.png	assets/exports/pets/gold/crystalbark_stag_gold.png
radiant_sprite	Radiant Sprite	heaven	heaven	grass	heaven 2 · grass	assets/exports/pets/basic/radiant_sprite_basic.png	assets/exports/pets/gold/radiant_sprite_gold.png
worldbloom_ent	Worldbloom Ent	heaven	heaven	grass	heaven 2 · grass	assets/exports/pets/basic/worldbloom_ent_basic.png	assets/exports/pets/gold/worldbloom_ent_gold.png
aurora_dove	Aurora Dove	heaven	heaven	desert	heaven 2 · desert	assets/exports/pets/basic/aurora_dove_basic.png	assets/exports/pets/gold/aurora_dove_gold.png
prism_scarab	Prism Scarab	heaven	heaven	desert	heaven 2 · desert	assets/exports/pets/basic/prism_scarab_basic.png	assets/exports/pets/gold/prism_scarab_gold.png
mirage_meerkat	Mirage Meerkat	heaven	heaven	desert	heaven 2 · desert	assets/exports/pets/basic/mirage_meerkat_basic.png	assets/exports/pets/gold/mirage_meerkat_gold.png
sunwell_camel	Sunwell Camel	heaven	heaven	desert	heaven 2 · desert	assets/exports/pets/basic/sunwell_camel_basic.png	assets/exports/pets/gold/sunwell_camel_gold.png
empyreal_couatl	Empyreal Couatl	heaven	heaven	desert	heaven 2 · desert	assets/exports/pets/basic/empyreal_couatl_basic.png	assets/exports/pets/gold/empyreal_couatl_gold.png
frostcinder_imp	Frostcinder Imp	hell	hell	lava	hell 2 · fire	assets/exports/pets/basic/frostcinder_imp_basic.png	assets/exports/pets/gold/frostcinder_imp_gold.png
rimemane_lion	Rimemane Lion	hell	hell	lava	hell 2 · fire	assets/exports/pets/basic/rimemane_lion_basic.png	assets/exports/pets/gold/rimemane_lion_gold.png
hoarfrost_phoenix	Hoarfrost Phoenix	hell	hell	lava	hell 2 · fire	assets/exports/pets/basic/hoarfrost_phoenix_basic.png	assets/exports/pets/gold/hoarfrost_phoenix_gold.png
frostbrand_salamander	Frostbrand Salamander	hell	hell	lava	hell 2 · fire	assets/exports/pets/basic/frostbrand_salamander_basic.png	assets/exports/pets/gold/frostbrand_salamander_gold.png
deadfire_phoenix	Deadfire Phoenix	hell	hell	lava	hell 2 · fire	assets/exports/pets/basic/deadfire_phoenix_basic.png	assets/exports/pets/gold/deadfire_phoenix_gold.png
rimegloom_hare	Rimegloom Hare	hell	hell	ice	hell 2 · ice	assets/exports/pets/basic/rimegloom_hare_basic.png	assets/exports/pets/gold/rimegloom_hare_gold.png
dread_fox	Dread Fox	hell	hell	ice	hell 2 · ice	assets/exports/pets/basic/dread_fox_basic.png	assets/exports/pets/gold/dread_fox_gold.png
gravefrost_owl	Gravefrost Owl	hell	hell	ice	hell 2 · ice	assets/exports/pets/basic/gravefrost_owl_basic.png	assets/exports/pets/gold/gravefrost_owl_gold.png
rimeguard_bear	Rimeguard Bear	hell	hell	ice	hell 2 · ice	assets/exports/pets/basic/rimeguard_bear_basic.png	assets/exports/pets/gold/rimeguard_bear_gold.png
rimewraith_dragon	Rimewraith Dragon	hell	hell	ice	hell 2 · ice	assets/exports/pets/basic/rimewraith_dragon_basic.png	assets/exports/pets/gold/rimewraith_dragon_gold.png
frostblight_lamb	Frostblight Lamb	hell	hell	grass	hell 2 · grass	assets/exports/pets/basic/frostblight_lamb_basic.png	assets/exports/pets/gold/frostblight_lamb_gold.png
gloom_hare	Gloom Hare	hell	hell	grass	hell 2 · grass	assets/exports/pets/basic/gloom_hare_basic.png	assets/exports/pets/gold/gloom_hare_gold.png
icerot_stag	Icerot Stag	hell	hell	grass	hell 2 · grass	assets/exports/pets/basic/icerot_stag_basic.png	assets/exports/pets/gold/icerot_stag_gold.png
rimewither_sprite	Rimewither Sprite	hell	hell	grass	hell 2 · grass	assets/exports/pets/basic/rimewither_sprite_basic.png	assets/exports/pets/gold/rimewither_sprite_gold.png
frostgrave_ent	Frostgrave Ent	hell	hell	grass	hell 2 · grass	assets/exports/pets/basic/frostgrave_ent_basic.png	assets/exports/pets/gold/frostgrave_ent_gold.png
wraith_dove	Wraith Dove	hell	hell	desert	hell 2 · desert	assets/exports/pets/basic/wraith_dove_basic.png	assets/exports/pets/gold/wraith_dove_gold.png
rime_scarab	Rime Scarab	hell	hell	desert	hell 2 · desert	assets/exports/pets/basic/rime_scarab_basic.png	assets/exports/pets/gold/rime_scarab_gold.png
gloom_jackal	Gloom Jackal	hell	hell	desert	hell 2 · desert	assets/exports/pets/basic/gloom_jackal_basic.png	assets/exports/pets/gold/gloom_jackal_gold.png
frostdust_camel	Frostdust Camel	hell	hell	desert	hell 2 · desert	assets/exports/pets/basic/frostdust_camel_basic.png	assets/exports/pets/gold/frostdust_camel_gold.png
dread_couatl	Dread Couatl	hell	hell	desert	hell 2 · desert	assets/exports/pets/basic/dread_couatl_basic.png	assets/exports/pets/gold/dread_couatl_gold.png
emberling	Emberling	lava	-	-	EMBER FAMILY (lava biome — EmberEgg). One asset per pet for now; golden/rainbow reuse	assets/exports/pets/basic/emberling_basic.png	assets/exports/pets/gold/emberling_gold.png
emberfox	Emberfox	lava	-	-	EMBER FAMILY (lava biome — EmberEgg). One asset per pet for now; golden/rainbow reuse	assets/exports/pets/basic/emberfox_basic.png	assets/exports/pets/gold/emberfox_gold.png
emberimp	Ember Imp	lava	-	-	EMBER FAMILY (lava biome — EmberEgg). One asset per pet for now; golden/rainbow reuse	MISSING	MISSING
emberowl	Ember Owl	lava	-	-	EMBER FAMILY (lava biome — EmberEgg). One asset per pet for now; golden/rainbow reuse	assets/exports/pets/basic/emberowl_basic.png	assets/exports/pets/gold/emberowl_gold.png
emberlion	Ember Lion	lava	-	-	EMBER FAMILY (lava biome — EmberEgg). One asset per pet for now; golden/rainbow reuse	assets/exports/pets/basic/emberlion_basic.png	assets/exports/pets/gold/emberlion_gold.png
